Ticker,Return,Standard Deviation,Risk-Free Rate,Beta (S&P),Sharpe Ratio
PBW,96.9794240829504,49.04632144564508,0.17,0.8461786311558122,1.9738365942538247
PBD,76.22515398762076,39.11894636990235,0.17,0.9001706621057818,1.9442025168176993
QQQ,56.34688746989631,33.018871485196385,0.17,0.949814444761704,1.7013569799041297
IEI,6.1429762878044984,3.7362525073965522,0.17,-0.5003134025479875,1.5986543404065887
IAU,28.351566347469227,18.293962032508343,0.17,0.10445558484872826,1.5404845761344985
GLD,28.143213576991876,18.428941913913963,0.17,0.10743530713054565,1.517895802573013
VUG,43.845829240184564,33.227998098130826,0.17,0.9779540047970562,1.3144285464083212
ASHS,40.957542596664965,31.728889776026257,0.17,0.6178644585480114,1.2855017268042972
IWF,42.510095523829776,32.99599008356671,0.17,0.9796404977102491,1.283189121362865
SLV,50.08787932044524,40.10032422453064,0.17,0.27034560978209315,1.244824830865305
IVW,36.430845257183655,32.722271253217464,0.17,0.9852663638085508,1.1081396207672551
BBC,47.38728392831269,43.780181451049344,0.17,0.6923574736976066,1.0785081825461682
IUSG,34.907209056102246,32.56311084899496,0.17,0.986680175522714,1.0667656790283102
ASHR,32.42595793391042,31.059241093879532,0.17,0.683477005965235,1.0385301378231906
IEF,8.033572166491235,7.621214505571008,0.17,-0.5084004850145043,1.031800398839721
GOVT,6.48418947755771,6.544639435079412,0.17,-0.5281840199347896,0.964787982621856
GLCN,20.971954627592115,23.23792463750005,0.17,0.18611830445658017,0.8951726521232922
OEF,28.72970988146553,32.53153068245685,0.17,0.9928236759841762,0.8779085792254717
TIP,7.881584815714564,9.01571839457847,0.17,-0.07634582807662346,0.8553489004660865
XBI,32.93151557177364,38.57631416650024,0.17,0.7888061713793191,0.8492650549860933
XRT,32.78301180305266,39.22608032114248,0.17,0.8632197893734983,0.8314114368820724
AAXJ,23.632203149696736,30.305936997249596,0.17,0.8454097690554295,0.7741784440397285
BOND,5.655133884874966,7.831359351637691,0.17,0.25639994661931026,0.7004063584092738
VV,23.30447512922704,33.09824615336054,0.17,0.9980724157731771,0.6989637765709269
AGG,6.053723044170094,8.488002676905362,0.17,0.12920098501508262,0.6931811013890065
SPIB,6.716329273610766,9.465915092140976,0.17,0.33188545831163074,0.6915685604496727
VOT,23.239173796981706,33.8930689583753,0.17,0.9723976633940128,0.6806457634542737
SCHX,22.67997570927694,33.167332725697435,0.17,0.9983591489555674,0.6786791055958692
SPY,21.74150175417468,32.12380076477845,0.17,0.9999999840446869,0.6715115036395803
VCIT,7.658383998239423,11.270860584225439,0.17,0.2971755909723348,0.6644021494436793
IWB,22.116557703404848,33.09726421338024,0.17,0.9985170395878364,0.6630928031366563
IWP,22.392803518534677,34.00867618844757,0.17,0.9684198173784149,0.653445120750791
VOO,21.76806720829411,33.17734437650602,0.17,0.9988087258947187,0.6509884264151177
IVV,21.793377049554923,33.22322124635768,0.17,0.9990765690575041,0.6508513093662021
IYY,21.50255649739598,33.16436038452537,0.17,0.996804966699236,0.6432373864610952
BND,6.181190751334528,9.36823046389696,0.17,0.20725796492466086,0.6416570103073677
ITOT,21.095286247232643,32.93123433282485,0.17,0.9975920303221372,0.6354236842672779
VTI,21.02155951798662,33.05548395009789,0.17,0.9980387301028237,0.6308048476756569
SCHB,21.064995959034935,33.5621879081034,0.17,0.998054504225067,0.6225755012232072
IWV,21.042579419666076,33.9780165302473,0.17,0.9967085820230468,0.6142965820587337
ILTB,9.783885023409525,17.019994255764505,0.17,0.03289429096231742,0.5648583001227158
ACWI,17.09468327020867,31.013857467325824,0.17,0.9873511112552286,0.5457135826473508
SPTL,11.390908314218546,20.81135771364843,0.17,-0.5010211148019194,0.5391723340981107
BLV,9.44402427321049,17.659037269155245,0.17,0.04878816100747325,0.5251715669352642
VT,16.48200902775217,31.639121702038114,0.17,0.9866819114067155,0.5155645337241264
EEM,17.012297947706006,33.129728850865945,0.17,0.881408326480109,0.5083741561400006
IEMG,16.967059074523306,33.058187240264566,0.17,0.8815287641013528,0.5081058726070933
TLT,11.291961352826172,21.98105803492782,0.17,-0.48766517371827084,0.5059793452687044
VBK,18.2258988037219,35.70681101459556,0.17,0.949450262932482,0.5056709991923207
SCHE,15.859208365970614,31.75284590743096,0.17,0.8793012691539843,0.49410400603805243
VWO,15.74243864481642,31.621281798824974,0.17,0.8795866858709445,0.4924670272346481
IWO,17.039504450800706,37.05204247804181,0.17,0.9263891222747938,0.4552921599611707
LQD,7.813868256386986,16.94726273738262,0.17,0.3258481722295035,0.4510385172424326
VXF,17.193886566031466,37.75226301899824,0.17,0.9416166662458588,0.45093684999663347
VIG,12.839380066243464,30.925309538812577,0.17,0.9823197094821021,0.4096767422923562
BBJP,9.963956361214684,24.32222401249005,0.17,0.8491038166040444,0.4026751976375701
EWJ,9.928068180526523,24.552702779677123,0.17,0.8555179948901553,0.39743356436520366
RHS,10.310010656806185,26.257917819041722,0.17,0.8796500454029085,0.3861696394469195
SCHD,12.406279572737157,32.565617068969914,0.17,0.9641785403178067,0.3757422912276541
VPL,10.242955476350293,28.346973311807044,0.17,0.9153552886395875,0.35534500863817864
VSS,10.792193839081692,29.91441631200496,0.17,0.9225498803158484,0.35508611394229
SCZ,10.200656269646698,29.7429933922393,0.17,0.9105544283831827,0.3372443431421382
DBJP,10.271013862772302,29.981466450279505,0.17,0.8656130673860937,0.33690859916820826
IJK,12.575452495052716,36.86388295198434,0.17,0.9540731998676422,0.336520504668783
IXUS,9.721096851255167,29.394567039825347,0.17,0.9335397821544835,0.32492728463443005
HEWJ,10.044374023540632,30.39065126879603,0.17,0.8678927950519439,0.3249148541176301
VXUS,9.906406736486272,30.10066185379681,0.17,0.9350288233719924,0.323461549908018
VEU,9.964142485409594,30.439580952449248,0.17,0.9399725810627441,0.3217568106705993
DGRO,11.0615386470364,34.33395102868802,0.17,0.984666697382469,0.31722357377209176
VO,11.202230439297262,35.50299446525882,0.17,0.975710612043215,0.31074084328556467
DIA,10.925297265417413,35.471615019391415,0.17,0.9869540870450546,0.30320855871766117
VCLT,7.261271359776302,24.249152947528525,0.17,0.3261542796482948,0.29243377593933834
NOBL,9.04401662585937,32.80628154818784,0.17,0.9606827299339716,0.27049748423406905
VEA,8.151817399059686,30.49242219675776,0.17,0.9399047586317503,0.2617639670458317
IWC,10.346325787604481,39.506145854803385,0.17,0.8699162643344125,0.2575884224445849
SCHF,7.720610555619628,30.210395450029054,0.17,0.9399566431498679,0.24993418467855133
IWR,8.92303608498534,36.23003662602365,0.17,0.9731629143063109,0.24159611471930248
RSP,8.899354342649254,36.32457997613566,0.17,0.9708774192621796,0.24031535528791306
IEFA,7.175847800522036,30.084778048989225,0.17,0.9330754915205037,0.23287018402176365
VGK,7.2064496716452195,32.58761281715245,0.17,0.9296360962619716,0.21592406019816196
IEUR,6.915841191085059,32.22935624999139,0.17,0.9313037618151262,0.20930735130916123
BBEU,6.632854048105689,31.40016934220689,0.17,0.9279197356734014,0.20582226731556416
EFA,6.341354319070135,30.01821460736995,0.17,0.9365183289730487,0.20558698776025705
PRF,7.3028146633459246,35.485674670494824,0.17,0.9801920325990716,0.2010054685328169
FEZ,6.931685504585569,34.60385421878474,0.17,0.9153528348421316,0.19540266994059236
DXJ,6.155777783126245,32.386178239831295,0.17,0.8652001790881806,0.1848250737953521
IEV,5.7673419268185295,32.297738054902624,0.17,0.9309795021481319,0.17330445609855588
VTWO,6.551886518414299,39.25562208302897,0.17,0.9242910156466021,0.16257254833246734
IWM,6.410945370387515,38.81385338965237,0.17,0.9203434844008498,0.16079169743170432
PGX,5.102214814550308,31.146455727790386,0.17,0.5860054679385552,0.15835557206432146
BBCA,6.052628385922239,37.64028462473153,0.17,0.9038284101462315,0.15628543844902443
VB,6.045755556098728,37.6449598550247,0.17,0.9470296193477137,0.15608345921278635
IJT,5.8720897965230945,41.82623620473927,0.17,0.9184193955603509,0.1363280637686687
IJH,5.140988259622775,39.88929661208739,0.17,0.9420085978424457,0.12461960179354101
